url,headline
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Hodg001.html,Hodgson shoulders England blame
http://comp20008-jh.eng.unimelb.edu.au:9889/main/OCo147.html,O'Connor aims to grab opportunity
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Vick002.html,Vickery out of Six Nations
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Tind146.html,Tindall aiming to earn Lions spot
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Yach003.html,Yachvili savours France comeback
http://comp20008-jh.eng.unimelb.edu.au:9889/main/ODr145.html,O'Driscoll out of Scotland game
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Lapo004.html,Laporte tinkers with team
http://comp20008-jh.eng.unimelb.edu.au:9889/main/DAr144.html,D'Arcy injury adds to Ireland woe
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Lews005.html,Lewsey puzzle over disallowed try
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Ital143.html,Italy 8-38 Wales
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Fumi006.html,Fuming Robinson blasts officials
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Wilk142.html,Wilkinson to miss Ireland match
http://comp20008-jh.eng.unimelb.edu.au:9889/main/OGa007.html,O'Gara revels in Ireland victory
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Engl141.html,England 17-18 France
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Thom008.html,Thomas out of Six Nations
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Llew140.html,Llewellyn plans Wales retirement
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Wale009.html,Wales coach elated with win
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Domi139.html,Dominici backs lacklustre France
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Newc010.html,Newcastle 27-27 Gloucester
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Vick138.html,Vickery upbeat about arm injury
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Lond011.html,London Irish 19-33 Wasps
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Tayl137.html,Taylor poised for Scotland return
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Murr012.html,Murray returns to Scotland fold
http://comp20008-jh.eng.unimelb.edu.au:9889/main/OCo136.html,O'Connell rejects Lions rumours
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Fear013.html,Fear will help France - Laporte
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Bort135.html,Bortolami predicts dour contest
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Davi014.html,Davies favours Gloucester future
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Scot134.html,Scotland 18-10 Italy
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Ref015.html,Ref stands by Scotland decisions
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Fumi133.html,Fuming Robinson blasts officials
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Robi016.html,Robinson ready for difficult task
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Irel132.html,Ireland 19-13 England
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Bell017.html,Bell set for England debut
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Irel131.html,Ireland win eclipses refereeing 'errors'
http://comp20008-jh.eng.unimelb.edu.au:9889/main/OSu018.html,O'Sullivan quick to hail Italians
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Celt130.html,Celts savour Grand Slam prospect
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Ital019.html,Italy 17-28 Ireland
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Sydn129.html,Sydney to host north v south game
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Jone020.html,Jones happy with Henson heroics
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Wale128.html,Wales hails new superstar
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Doub021.html,Double injury blow strikes Wales
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Engl127.html,England given tough Sevens draw
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Kirw022.html,Kirwan demands Italy consistency
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Farr126.html,Farrell saga to drag on - Lindsay
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Fit-023.html,Fit-again Betsen in France squad
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Tige125.html,Tigers wary of Farrell 'gamble'
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Wale024.html,Wales critical of clumsy Grewcock
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Scul124.html,Sculthorpe wants Lions captaincy
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Hens025.html,Henson stakes early Lions claim
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Wale123.html,Wales silent on Grand Slam talk
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Murp026.html,Murphy: That was a bruising battle
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Pari122.html,Paris promise raises Welsh hopes
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Wale027.html,Wales make two changes for France
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Tind121.html,Tindall wants second opinion
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Irel028.html,Ireland surge past Scots
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Bath120.html,Bath faced with Tindall ultimatum
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Wale029.html,Wales win in Rome
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Scru119.html,Scrum-half Williams rejoins Bath
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Whit030.html,White prepared for battle
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Mars118.html,Marshall set for Leeds move
http://comp20008-jh.eng.unimelb.edu.au:9889/main/ODr031.html,O'Driscoll saves Irish blushes
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Wilk117.html,Wilkinson targets Ireland
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Bark032.html,Barkley fit for match in Ireland
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Wasp116.html,Wasps thrown out of Powergen Cup
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Wale033.html,Wales stars need a rest - Ruddock
http://comp20008-jh.eng.unimelb.edu.au:9889/main/OSh115.html,O'Shea to head up RFU Academies
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Muns034.html,Munster Cup tie switched to Spain
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Hurt114.html,Hurter flees Falcons nest for SA
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Will035.html,Williams says he will never quit
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Kafe113.html,Kafer resigns as Saracens coach
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Poun036.html,Pountney handed ban and fine
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Kafe112.html,Kafer quits Saracens
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Fran037.html,France v Wales (Sat)
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Gatl111.html,Gatland fears end of European run
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Wood038.html,Woodward eyes Brennan for Lions
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Wilk110.html,Wilkinson: Injuries toughened me
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Scot039.html,Scotland v Italy (Sat)
http://comp20008-jh.eng.unimelb.edu.au:9889/main/John109.html,Johnson rules out Lions tour
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Prev040.html,Preview: Ireland v England (Sun)
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Heal108.html,Healey targets England comeback
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Leed041.html,Leeds v Saracens (Fri)
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Daws107.html,Dawson set for new Wasps contract
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Worc042.html,Worcester v Sale (Fri)
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Dall106.html,Dallaglio eyeing Lions tour place
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Robi043.html,Robinson answers critics
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Wilk105.html,Wilkinson fit to face Edinburgh
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Sell044.html,Sella wants Michalak recall
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Lion104.html,Lions blow to World Cup winners
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Umag045.html,Umaga ready for Lions
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Camp103.html,Campbell to be Lions consultant
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Umag046.html,"Umaga ready for ""fearsome"" Lions"
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Lion102.html,Lions blow to World Cup stars
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Camp047.html,Campese berates whingeing England
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Bord101.html,Borders 19-20 Ulster
http://comp20008-jh.eng.unimelb.edu.au:9889/main/ODr048.html,O'Driscoll/Gregan lead Aid stars
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Daws100.html,Dawson wins England squad recall
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Hari049.html,Harinordoquy suffers France axe
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Barb099.html,Barbarians 19-47 New Zealand
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Park050.html,Parker misses England clash
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Engl098.html,England claim Dubai Sevens glory
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Stev051.html,Stevens named in England line-up
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Irel097.html,Ireland 21-19 Argentina
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Bort052.html,Bortolami predicts dour contest
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Irel096.html,Ireland call up uncapped Campbell
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Corr053.html,Corry backs skipper Robinson
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Irel095.html,Ireland v USA (Sat)
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Prop054.html,Prop Jones ready for hard graft
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Irel094.html,Ireland 17-12 South Africa
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Mood055.html,Moody joins up with England
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Wasp093.html,Wasps 31-37 Leicester
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Capt056.html,Captains lining up for Aid match
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Dall092.html,Dallaglio his own man to the end
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Cast057.html,Castaignede fires Laporte warning
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Hong091.html,Hong Kong in 2011 World Cup bid
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Char058.html,Charvis set to lose fitness bid
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Wilk090.html,Wilkinson to lead England
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Robi059.html,Robinson out of Six Nations
http://comp20008-jh.eng.unimelb.edu.au:9889/main/WRU089.html,WRU proposes season overhaul
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Engl060.html,England coach faces rap after row
http://comp20008-jh.eng.unimelb.edu.au:9889/main/All088.html,All Black magic: New Zealand rugby
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Hari061.html,Harinordoquy suffers France axe
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Robi087.html,Robinson wants dual code success
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Wilk062.html,Wilkinson return 'unlikely'
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Sout086.html,South Africa sweep top awards
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Engl063.html,England 'to launch ref protest'
http://comp20008-jh.eng.unimelb.edu.au:9889/main/ANo085.html,A November to remember
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Moor064.html,Moore questions captaincy
http://comp20008-jh.eng.unimelb.edu.au:9889/main/John084.html,Johnson announces June retirement
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Owen065.html,Owen set for skipper role
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Lomu083.html,Lomu relishing return to action
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Ital066.html,Italy aim to rattle England
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Will082.html,Williams stays on despite dispute
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Dal067.html,Dal Maso in to replace Bergamasco
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Aye081.html,A year to remember for Irish
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Teen068.html,Teenager Tait picked for England
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Cald080.html,Calder fears for Scottish rugby
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Wood069.html,Wood - Ireland can win Grand Slam
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Fund079.html,Funding cut hits Wales Students
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Scot070.html,Scots suffer another injury blow
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Hodg078.html,Hodges announces rugby retirement
http://comp20008-jh.eng.unimelb.edu.au:9889/main/OSu071.html,O'Sullivan keeps his powder dry
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Play077.html,Player burn-out worries Robinson
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Wale072.html,Wales get Williams fitness boost
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Rudd076.html,Ruddock backs Yapp's credentials
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Daws073.html,Dawson joins England injury list
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Sain075.html,Saint-Andre anger at absent stars
http://comp20008-jh.eng.unimelb.edu.au:9889/main/Wale074.html,Wales want rugby league training
